,feature name,rank
3327,QSO3_SC_D,1
3563,formula_O,1
193,CTDC_normwaalsvolume.G3,1
3323,Shannon-Entropy,1
131,CKSAAGP_postivecharger.aromatic.gap4,1
18,AAC_Y,1
12,AAC_M,1
2890,CKSAAP_YN.gap2,1
3255,DDR_M,1
2484,CKSAAP_RQ.gap1,1
1574,GTPC_uncharger.postivecharger.postivecharger,1
145,CKSAAGP_alphaticr.alphaticr.gap5,1
2872,CKSAAP_VP.gap2,1
3542,Z5__28,2
67,CKSAAGP_uncharger.postivecharger.gap1,2
776,DDE_EN,3
264,CTDD_hydrophobicity_PONP930101.3.residue0,4
3227,PAAC_Xc1.G,5
3530,Z5__16,7
1441,GAAC_aromatic,7
303,CTDD_hydrophobicity_FASG890101.1.residue100,8
903,DDE_LW,9
82,CKSAAGP_postivecharger.postivecharger.gap2,11
3514,Z3__18,11
149,CKSAAGP_alphaticr.uncharger.gap5,13
216,CTDD_hydrophobicity_PRAM900101.2.residue50,13
210,CTDD_hydrophobicity_PRAM900101.1.residue25,14
3251,DDR_H,15
3440,Cougar__5,16
1314,DPC_PG,17
2995,CKSAAP_GS.gap3,18
466,CTriad_g1.g4.g3,19
1898,NMBroto_DAYM780201.lag3,20
844,DDE_HY,21
78,CKSAAGP_aromatic.negativecharger.gap2,22
1004,DDE_RY,23
299,CTDD_hydrophobicity_FASG890101.1.residue0,24
997,DDE_RP,25
3256,DDR_F,26
407,CTDT_hydrophobicity_ARGP820101.Tr1221,27
3580,OVP_Aromatic_N1,28
2612,CKSAAP_DT.gap2,30
2668,CKSAAP_HA.gap2,30
428,CTDT_polarity.Tr1221,31
3558,Z5__44,32
3444,Cougar__9,33
1011,DDE_SH,34
291,CTDD_hydrophobicity_ENGD860101.2.residue50,36
948,DDE_PE,36
3502,Z3__6,37
3004,CKSAAP_HL.gap3,38
3470,Ez__17,39
2828,CKSAAP_SH.gap2,40
2463,CKSAAP_QL.gap1,41
219,CTDD_hydrophobicity_PRAM900101.3.residue0,42
3373,Charge_density,43
581,CTriad_g4.g2.g5,44
2467,CKSAAP_QR.gap1,45
1879,NMBroto_BHAR880101.lag2,47
3528,Z5__14,47
3512,Z3__16,48
3546,Z5__32,49
3583,OVP_Polar_N1,51
3059,CKSAAP_LR.gap3,51
69,CKSAAGP_uncharger.uncharger.gap1,52
957,DDE_PP,53
3578,OVPC_Small,54
3557,Z5__43,55
3240,PAAC_Xc2.lambda1,56
214,CTDD_hydrophobicity_PRAM900101.2.residue0,57
2457,CKSAAP_QA.gap1,58
411,CTDT_hydrophobicity_ZIMJ680101.Tr1331,59
279,CTDD_hydrophobicity_CASG920101.3.residue0,60
374,CTDD_secondarystruct.1.residue0,62
3494,Polarity,62
1894,NMBroto_CHAM810101.lag2,63
226,CTDD_hydrophobicity_ARGP820101.1.residue50,64
1884,NMBroto_CHAM820102.lag1,65
1849,APAAC_Pc1.A,66
