,rbfsvm,lightgbm,xgboost,dt,et
seq_1441,0,0,0,0,0
seq_663,0,0,0,0,0
seq_799,0,0,0,0,0
seq_448,0,0,0,1,0
seq_248,0,0,0,0,0
seq_387,0,0,0,0,0
seq_1487,0,0,0,0,0
seq_128,0,0,0,0,0
seq_1291,0,0,0,0,0
seq_963,0,0,0,0,0
seq_993,0,0,0,0,0
seq_816,0,0,0,0,0
seq_1938,0,0,0,0,0
seq_695,0,0,0,0,0
seq_1365,0,0,0,0,0
seq_1571,0,0,0,0,0
seq_1524,0,0,0,0,0
seq_326,0,0,0,0,0
seq_218,0,0,0,0,0
seq_1432,0,0,0,0,0
seq_1592,0,0,0,0,0
seq_1042,0,0,0,0,0
seq_543,1,0,0,1,0
seq_259,0,0,0,0,0
seq_1491,0,0,0,0,0
seq_1058,0,0,0,0,0
seq_1922,0,0,0,0,0
seq_844,0,0,0,0,0
seq_1182,0,0,0,0,0
seq_207,0,0,0,0,0
seq_1618,0,0,0,0,0
seq_1867,0,0,0,0,0
seq_972,0,0,0,0,0
seq_761,0,0,0,0,0
seq_1961,0,0,0,0,0
seq_572,0,0,0,0,0
seq_1153,0,0,0,0,0
seq_550,0,0,0,0,0
seq_1112,0,0,0,1,0
seq_1561,0,0,0,0,0
seq_758,0,0,0,1,0
seq_229,0,0,0,0,0
seq_1002,0,0,0,0,0
seq_390,0,0,0,0,0
seq_1338,0,0,0,0,0
seq_1064,0,0,0,0,0
seq_1306,0,0,0,0,0
seq_1104,0,0,0,0,0
seq_1889,0,0,0,0,0
seq_393,0,0,0,0,0
seq_1183,0,0,0,0,0
seq_1263,0,0,0,0,0
seq_983,0,0,0,0,0
seq_1335,0,0,0,0,0
seq_202,0,0,0,1,0
seq_221,1,1,0,1,0
seq_1778,0,0,0,0,0
seq_490,0,0,0,0,0
seq_930,0,0,0,0,0
seq_942,0,0,0,1,0
seq_400,0,0,0,0,0
seq_1187,0,0,0,0,0
seq_1868,0,0,0,0,0
seq_1377,0,0,0,0,0
seq_353,0,0,0,0,0
seq_388,0,0,0,0,0
seq_1304,0,0,0,0,0
seq_1796,0,0,0,0,0
seq_378,0,0,0,0,0
seq_1658,0,0,0,0,0
seq_1550,0,0,0,0,0
seq_1427,0,0,0,0,0
seq_1106,0,0,0,0,0
seq_437,0,0,0,0,0
seq_120,0,0,0,0,0
seq_1769,0,0,0,1,0
seq_1864,0,0,0,0,0
seq_1947,0,0,0,0,0
seq_1698,0,0,0,1,0
seq_352,0,0,0,0,0
seq_789,0,0,0,0,0
seq_276,0,0,0,0,0
seq_341,0,0,0,0,0
seq_954,0,0,0,0,0
seq_791,0,0,0,0,0
seq_1094,0,0,0,0,0
seq_321,0,0,0,0,0
seq_1475,0,0,0,0,0
seq_1014,0,0,0,0,0
seq_161,0,0,0,0,0
seq_652,0,0,0,0,0
seq_1829,0,0,0,0,0
seq_111,0,0,0,0,0
seq_1661,0,0,0,0,0
seq_1919,0,0,0,0,0
seq_770,0,0,0,1,0
seq_1343,0,0,0,0,0
seq_14,0,0,0,0,0
seq_915,0,0,0,0,0
seq_1899,0,0,0,0,0
seq_976,0,0,0,1,0
seq_9,0,0,0,0,0
seq_1415,0,0,0,0,0
seq_423,0,0,0,0,0
seq_877,0,0,0,0,0
seq_234,0,0,0,0,0
seq_1458,0,0,0,0,0
seq_1780,0,0,0,0,0
seq_896,0,0,0,0,0
seq_155,0,0,0,0,0
seq_1066,0,0,0,0,0
seq_1601,0,0,0,0,0
seq_1053,0,0,0,0,0
seq_152,0,0,0,0,0
seq_1939,0,0,0,0,0
seq_1810,0,0,0,0,0
seq_1214,0,0,0,0,0
seq_996,0,0,0,0,0
seq_819,0,0,0,0,0
seq_988,0,0,0,0,0
seq_1895,0,0,0,0,0
seq_1495,0,0,0,0,0
seq_970,0,0,0,0,0
seq_60,0,0,0,0,0
seq_338,0,0,0,1,0
seq_1173,0,0,0,0,0
seq_1031,0,0,0,0,0
seq_1097,0,0,0,0,0
seq_75,0,0,0,0,0
seq_1314,0,0,0,0,0
seq_674,0,0,0,0,0
seq_1510,0,0,0,0,0
seq_1632,0,0,0,0,0
seq_286,0,0,0,0,0
seq_865,0,0,0,0,0
seq_1449,0,0,0,0,0
seq_196,0,0,0,0,0
seq_1298,0,0,0,0,0
seq_1883,0,0,0,0,0
seq_601,0,0,0,1,0
seq_736,0,0,0,0,0
seq_1527,0,0,0,0,0
seq_300,0,0,0,0,0
seq_445,0,0,0,1,0
seq_523,0,0,0,0,0
seq_1689,0,0,0,0,0
seq_529,0,0,0,0,0
seq_817,0,0,0,0,0
seq_699,0,0,0,0,0
seq_1353,0,0,0,0,0
seq_1712,0,0,0,0,0
seq_1390,0,0,0,0,0
seq_1409,0,0,0,0,0
seq_701,0,0,0,0,0
seq_1558,0,0,0,1,0
seq_805,0,0,0,0,0
seq_295,0,0,0,0,0
seq_427,0,0,0,0,0
seq_1855,0,0,0,0,0
seq_1065,0,0,0,0,0
seq_665,0,0,0,0,0
seq_827,0,0,0,0,0
seq_1012,0,0,0,0,0
seq_1326,0,0,0,0,0
seq_13,0,0,0,0,0
seq_1354,0,0,0,0,0
seq_1410,0,0,0,1,0
seq_779,0,0,0,0,0
seq_832,0,0,0,0,0
seq_1716,0,0,0,0,0
seq_952,0,0,0,0,0
seq_289,0,0,0,0,0
seq_70,0,0,0,0,0
seq_1469,0,0,0,0,0
seq_1533,0,0,0,0,0
seq_1236,0,0,1,0,0
seq_596,0,0,0,0,0
seq_1139,0,0,0,0,0
seq_397,0,0,0,0,0
seq_1637,0,0,0,0,0
