,rbfsvm,lightgbm,xgboost,dt,et
seq_86,0,0,0,0,0
seq_1363,0,0,0,0,0
seq_84,0,0,0,0,0
seq_1034,0,0,0,0,0
seq_1653,0,0,0,0,0
seq_1269,0,0,0,0,0
seq_221,0,0,0,0,0
seq_658,0,0,0,0,0
seq_1814,0,1,1,1,0
seq_1606,0,0,0,0,0
seq_409,0,0,0,0,0
seq_1210,0,0,0,0,0
seq_872,0,0,0,0,0
seq_1618,0,0,0,0,0
seq_512,0,0,0,0,0
seq_1629,0,0,0,0,0
seq_1581,0,0,0,0,0
seq_941,0,0,0,0,0
seq_13,0,0,0,0,0
seq_500,0,0,0,0,0
seq_1461,0,0,0,0,0
seq_380,0,0,0,0,0
seq_1239,0,0,0,1,0
seq_1069,0,0,0,0,0
seq_1599,0,0,0,0,0
seq_721,0,0,0,0,0
seq_1709,0,0,0,0,0
seq_154,0,0,0,0,0
seq_53,0,0,0,0,0
seq_502,0,0,0,0,0
seq_1957,0,0,0,0,0
seq_1947,0,0,0,0,0
seq_1422,0,0,0,0,0
seq_1433,0,0,0,1,0
seq_985,0,0,0,0,0
seq_819,0,0,0,0,0
seq_636,0,0,0,0,0
seq_809,0,0,0,0,0
seq_1281,0,0,0,1,0
seq_986,0,0,0,0,0
seq_931,0,0,0,0,0
seq_1272,0,0,0,0,0
seq_1261,0,0,0,0,0
seq_70,0,0,0,0,0
seq_1104,0,0,0,0,0
seq_628,0,0,0,0,0
seq_1655,0,0,0,0,0
seq_1958,0,0,0,0,0
seq_1727,0,0,0,0,0
seq_1031,0,0,0,0,0
seq_330,0,0,0,0,0
seq_1746,0,0,0,0,0
seq_1017,0,0,0,0,0
seq_1349,0,0,0,0,0
seq_1003,0,0,0,0,0
seq_565,0,0,0,0,0
seq_1240,0,0,0,0,0
seq_1955,0,0,0,0,0
seq_19,0,0,0,0,0
seq_1616,0,0,0,0,0
seq_1208,0,0,0,0,0
seq_1911,0,0,0,0,0
seq_1860,0,0,0,0,0
seq_1488,0,0,0,0,0
seq_360,0,0,0,0,0
seq_1221,0,0,0,0,0
seq_1501,0,0,0,0,0
seq_1330,0,0,0,0,0
seq_76,0,0,0,0,0
seq_1603,0,0,0,0,0
seq_1065,0,0,0,0,0
seq_1057,0,0,0,0,0
seq_749,0,0,0,0,0
seq_183,0,0,0,0,0
seq_1744,0,0,0,0,0
seq_235,0,0,0,0,0
seq_678,0,0,0,0,0
seq_1912,0,0,0,0,0
seq_1924,0,0,0,0,0
seq_1480,0,0,0,0,0
seq_1776,0,0,0,0,0
seq_1820,0,0,0,0,0
seq_1623,0,0,0,0,0
seq_1153,0,0,0,0,0
seq_923,0,0,0,0,0
seq_58,0,0,0,0,0
seq_1238,0,0,0,0,0
seq_416,0,0,0,0,0
seq_206,0,0,0,0,0
seq_1557,0,0,0,0,0
seq_116,0,0,0,0,0
seq_1521,0,0,0,0,0
seq_299,0,0,0,0,0
seq_56,0,0,0,0,0
seq_1232,0,0,0,0,0
seq_1124,0,0,1,0,0
seq_1484,0,0,0,0,0
seq_707,0,0,0,0,0
seq_844,0,0,0,0,0
seq_1137,0,0,0,0,0
seq_1296,0,0,0,0,0
seq_155,0,0,0,0,0
seq_1182,0,0,0,0,0
seq_1809,0,0,0,0,0
seq_1858,0,0,0,0,0
seq_38,0,0,0,0,0
seq_691,0,0,0,0,0
seq_836,0,0,0,0,0
seq_1500,0,0,0,0,0
seq_818,0,0,0,0,0
seq_1644,0,0,0,0,0
seq_1431,0,0,0,0,0
seq_694,0,0,0,0,0
seq_447,0,0,0,0,0
seq_1575,0,0,0,0,0
seq_689,0,0,0,0,0
seq_984,0,0,0,0,0
seq_146,0,0,0,0,0
seq_1828,0,0,0,0,0
seq_378,0,0,0,0,0
seq_600,0,0,0,0,0
seq_1273,0,0,0,0,0
seq_1790,0,0,0,1,0
seq_31,0,0,0,0,0
seq_878,0,0,0,0,0
seq_407,0,1,1,1,1
seq_843,0,0,0,0,0
seq_1420,0,0,0,0,0
seq_929,0,0,0,0,0
seq_987,0,0,0,0,0
seq_368,0,0,0,0,0
seq_1626,0,0,0,0,0
seq_100,0,0,0,0,0
seq_1470,0,0,0,0,0
seq_73,0,0,0,0,0
seq_24,0,0,0,0,0
seq_1383,0,0,0,0,0
seq_1597,0,0,0,0,0
seq_826,0,0,0,0,0
seq_863,0,0,0,0,0
seq_191,0,0,0,0,0
seq_1818,0,0,0,0,0
seq_217,0,0,0,0,0
seq_1076,0,0,0,0,0
seq_1038,0,0,0,0,0
seq_1323,0,0,0,0,0
seq_1742,0,0,0,0,0
seq_1061,0,0,0,0,0
seq_1563,0,0,0,1,0
seq_1646,0,0,0,0,0
seq_1628,0,0,0,0,0
seq_139,0,0,0,0,0
seq_1506,0,0,0,0,0
seq_1582,0,0,0,0,0
seq_1944,0,0,0,0,0
seq_326,0,0,0,0,0
seq_1299,0,0,0,0,0
seq_1267,0,0,0,0,0
seq_728,0,0,0,0,0
seq_1374,0,0,0,0,0
seq_584,0,0,0,0,0
seq_998,0,0,0,0,0
seq_448,0,0,0,0,0
seq_1931,0,0,0,0,0
seq_451,0,0,0,0,0
seq_438,0,0,0,0,0
seq_726,0,0,0,0,0
seq_706,0,0,0,0,0
seq_388,0,0,0,0,0
seq_1458,0,0,0,0,0
seq_1409,0,0,0,0,0
seq_596,0,0,0,0,0
seq_250,0,0,0,0,0
seq_701,0,0,0,0,0
seq_1502,0,0,0,0,0
seq_69,0,0,0,0,0
seq_849,0,0,0,1,0
seq_573,0,0,0,0,0
seq_28,0,0,0,0,0
seq_471,0,0,0,0,0
seq_384,0,0,0,0,0
seq_1567,0,0,0,1,0
seq_1115,0,0,0,0,0
seq_1883,0,0,0,0,0
seq_887,1,1,1,0,0
seq_1260,0,0,0,0,0
seq_111,0,0,0,0,0
seq_515,0,0,0,0,0
seq_854,0,0,0,0,0
seq_832,0,0,0,0,0
seq_1254,0,0,0,0,0
seq_514,0,0,0,0,0
seq_570,0,0,0,0,0
seq_880,0,0,0,1,0
seq_1938,0,0,0,0,0
seq_202,0,0,0,0,0
seq_374,0,0,0,0,0
seq_36,0,0,0,0,0
seq_1504,0,0,0,0,0
seq_219,0,0,0,0,0
seq_1253,0,0,0,0,0
seq_1196,0,0,0,0,0
seq_551,0,0,0,0,0
seq_1845,0,0,0,0,0
seq_1703,0,0,0,0,0
seq_614,0,0,0,0,0
seq_1738,0,0,0,0,0
seq_1719,0,0,0,0,0
seq_426,0,0,0,0,0
seq_390,0,0,0,0,0
seq_1472,0,0,0,0,0
seq_1558,0,0,0,0,0
seq_385,0,0,0,0,0
seq_282,0,0,0,1,0
seq_1201,0,0,0,0,0
seq_320,0,0,0,0,0
seq_1463,0,0,0,0,0
seq_1072,0,0,0,0,0
seq_1534,0,0,0,0,0
seq_853,0,0,0,0,0
seq_1668,0,0,0,0,0
seq_1265,0,0,0,0,0
seq_490,0,0,0,0,0
seq_1417,1,1,1,0,1
seq_1411,0,0,0,0,0
seq_603,0,0,0,0,0
seq_196,0,0,0,0,0
seq_259,0,0,0,0,0
seq_587,0,0,0,0,0
seq_1487,0,0,0,0,0
seq_478,0,0,0,1,0
seq_381,0,0,0,0,0
seq_660,0,0,0,0,0
seq_969,0,0,0,1,0
seq_959,0,0,0,0,0
seq_997,0,0,0,0,0
seq_1427,0,0,0,0,0
seq_21,0,0,0,0,0
seq_779,0,0,0,0,0
seq_1359,0,0,0,0,0
seq_1262,0,0,0,0,0
seq_1954,0,0,0,0,0
seq_1354,0,0,0,0,0
seq_1801,0,0,0,0,0
seq_403,0,0,0,0,0
seq_1020,0,0,0,0,0
seq_1365,0,0,0,0,0
seq_508,0,0,0,0,0
seq_1700,0,0,0,0,0
seq_1824,0,0,0,0,0
seq_256,0,0,0,0,0
seq_1871,0,0,0,0,0
seq_1721,0,0,0,0,0
seq_734,0,0,0,0,0
seq_81,0,0,0,0,0
seq_14,0,0,0,0,0
seq_972,0,0,0,0,0
seq_652,0,0,0,0,0
seq_277,0,0,0,0,0
seq_1439,0,0,0,0,0
seq_697,0,0,0,0,0
seq_1237,0,0,0,0,0
seq_928,0,0,0,0,0
seq_599,0,0,0,0,0
seq_796,0,0,0,0,0
seq_1805,0,0,0,0,0
seq_927,0,0,0,0,0
seq_650,0,0,0,0,0
seq_68,0,0,0,0,0
seq_693,0,0,0,0,0
seq_1462,0,0,0,0,0
seq_499,0,0,0,0,0
seq_1168,0,0,0,0,0
seq_632,0,0,0,0,0
seq_338,0,0,0,0,0
seq_1583,0,0,0,0,0
seq_1533,0,0,0,0,0
seq_507,0,0,0,0,0
seq_1154,0,0,0,0,0
seq_1223,0,0,0,0,0
seq_306,0,0,0,0,0
seq_1059,0,0,0,0,0
seq_777,0,0,0,0,0
seq_1317,0,0,0,0,0
seq_46,0,0,0,0,0
seq_124,0,0,0,0,0
seq_1714,0,0,0,0,0
seq_1278,0,0,0,0,0
seq_1332,0,0,0,0,0
seq_1505,0,0,0,0,0
seq_527,0,0,0,0,0
seq_1855,1,0,0,0,0
seq_1874,0,0,0,0,0
seq_735,0,0,0,0,0
seq_617,0,0,0,0,0
seq_252,0,0,0,0,0
seq_561,0,0,0,0,0
seq_1414,0,0,0,0,0
seq_957,0,0,0,0,0
seq_1921,0,0,0,0,0
seq_1799,0,0,0,1,0
seq_1125,0,0,0,0,0
seq_718,0,0,0,0,0
seq_317,0,0,0,0,0
seq_1406,0,0,0,1,0
seq_971,0,0,0,0,0
seq_1843,0,0,0,0,0
seq_1233,0,0,0,0,0
seq_1847,0,0,0,0,0
seq_722,0,0,0,0,0
seq_16,0,0,0,0,0
seq_1197,0,0,0,0,0
seq_1352,0,0,0,0,0
seq_480,0,0,0,0,0
seq_1952,0,0,0,0,0
seq_273,0,0,0,0,0
