,rbfsvm,lightgbm,xgboost,dt,et
seq_86,0.004627921843804054,0.001735931527185279,0.0006243964890018106,0.0,0.06
seq_1363,0.0007420125093362567,2.5736476278999877e-05,2.9033755708951503e-05,0.0,0.0
seq_84,0.005293533217828068,0.003112052133847241,0.004395246040076017,0.0,0.09
seq_1034,0.06359872382115463,0.0003923558642595694,3.420198481762782e-05,0.0,0.02
seq_1653,0.004587068185693894,0.00011585556911410089,0.000273711746558547,0.0,0.04
seq_1269,0.005021841979375287,3.32936019077611e-05,2.6292595066479407e-05,0.0,0.0
seq_221,0.25014488399233403,0.03800411570654578,0.0534508116543293,0.0,0.17
seq_658,0.0040137329091402205,0.0001468254470996959,0.00027585632051341236,0.0,0.01
seq_1814,0.23572661503068362,0.7985134831732285,0.9312717318534851,1.0,0.44
seq_1606,0.11489914944076607,0.000623893198163702,0.000324315537000075,0.0,0.07
seq_409,0.0009600501680591931,0.00020727003717556104,0.00017983825819101185,0.0,0.01
seq_1210,0.02539375524299612,0.00046112476487946287,0.0030058601405471563,0.0,0.04
seq_872,0.07241250701759926,0.001479173434756421,0.00779047142714262,0.0,0.06
seq_1618,0.06706698757879875,0.000721087928025077,0.001018700422719121,0.0,0.05
seq_512,0.00019915911274201616,3.230989038371371e-05,1.1286063454463147e-05,0.0,0.0
seq_1629,0.001366725117563347,0.0003061120705807692,0.0004049722629133612,0.0,0.01
seq_1581,0.003584292888226496,0.0003366064189799994,0.0004636801313608885,0.0,0.04
seq_941,0.000874261033157335,9.878259243156862e-05,0.0002030570467468351,0.0,0.01
seq_13,0.0024587523498841996,4.2547119023342076e-05,0.00011350918794050813,0.0,0.01
seq_500,0.004042616746486798,0.004302278868833365,0.0021071135997772217,0.0,0.08
seq_1461,0.3529088324789923,0.021986212089175127,0.02692072093486786,0.0,0.18
seq_380,0.0018715595690362969,0.00032610148297295853,0.0010411940747871995,0.0,0.02
seq_1239,0.04867299760106824,0.00030280844588934444,0.002337448764592409,1.0,0.1
seq_1069,0.02821311864963059,0.00032424042213721483,0.002232634462416172,0.0,0.04
seq_1599,0.008085123838224273,0.00011244018570672886,0.00013770110672339797,0.0,0.0
seq_721,0.01938438384765986,0.0001995435268328181,0.0008015087223611772,0.0,0.02
seq_1709,0.00416103141091763,6.942221338528268e-05,0.0001644101139390841,0.0,0.03
seq_154,0.0005643822853261118,3.27633388224304e-05,1.2565345059556421e-05,0.0,0.0
seq_53,0.004453601756798121,4.6064357915950985e-05,3.288041989435442e-05,0.0,0.0
seq_502,0.022030456356189176,0.0008292829823357643,0.008895798586308956,0.0,0.04
seq_1957,0.001727749029529615,8.371433898147605e-05,2.789838981698267e-05,0.0,0.01
seq_1947,0.0015010111784326946,0.00010054731221606355,5.15853644174058e-05,0.0,0.02
seq_1422,0.002148165741755016,2.5508342053288126e-05,3.163895962643437e-05,0.0,0.0
seq_1433,0.1481993251316069,0.009785677556866556,0.01172632910311222,1.0,0.23
seq_985,0.006693458192466952,0.00037747338634396753,0.0007494321325793862,0.0,0.01
seq_819,0.002407676051116594,2.4529301500518645e-05,1.6773808965808712e-05,0.0,0.0
seq_636,0.03408364916520913,0.0018300324352740556,0.0027037502732127905,0.0,0.02
seq_809,0.0019119064173188265,0.0002280906992219878,0.0004755221598315984,0.0,0.02
