,feature name,rank
3670,Shannon-Entropy,1
3553,CKSAAP_YG.gap3,1
1054,DDE_SH,1
3602,DDR_M,1
3927,OVP_Aromatic_N1,1
18,AAC_Y,1
1335,DPC_LN,1
3089,CKSAAP_RR.gap2,1
2913,CKSAAP_GN.gap2,1
3910,formula_O,1
2782,CKSAAP_WP.gap1,1
2709,CKSAAP_RQ.gap1,1
3945,OVP_Small_N2,1
1446,DPC_SH,2
1043,DDE_RS,2
1000,DDE_PP,2
131,CKSAAGP_postivecharger.aromatic.gap4,2
193,CTDC_normwaalsvolume.G3,3
3598,DDR_H,5
1140,DDE_YP,5
872,DDE_HF,5
31,CKSAAGP_postivecharger.aromatic.gap0,7
3470,CKSAAP_RP.gap3,7
2530,CKSAAP_GL.gap1,9
3859,Z3__16,10
219,CTDD_hydrophobicity_PRAM900101.3.residue0,11
852,DDE_GF,12
1994,APAAC_Pc1.D,12
100,CKSAAGP_aromatic.alphaticr.gap3,14
67,CKSAAGP_uncharger.postivecharger.gap1,15
145,CKSAAGP_alphaticr.alphaticr.gap5,15
2015,APAAC_Pc2.Hydrophobicity.3,17
408,CTDT_hydrophobicity_ARGP820101.Tr1331,19
1143,DDE_YS,19
1040,DDE_RP,19
425,CTDT_normwaalsvolume.Tr1221,21
3682,QSO3_SC_K,21
1133,DDE_YG,23
3681,QSO3_SC_L,24
3851,Z3__8,25
127,CKSAAGP_aromatic.postivecharger.gap4,26
180,CTDC_hydrophobicity_PONP930101.G2,28
887,DDE_HY,28
3849,Z3__6,28
437,CTDT_secondarystruct.Tr1221,30
427,CTDT_normwaalsvolume.Tr2332,31
80,CKSAAGP_postivecharger.alphaticr.gap2,32
3314,CKSAAP_HL.gap3,32
436,CTDT_charge.Tr2332,34
1059,DDE_SN,35
1992,APAAC_Pc1.R,35
27,CKSAAGP_aromatic.postivecharger.gap0,37
255,CTDD_hydrophobicity_PONP930101.1.residue25,37
3853,Z3__10,39
1621,GTPC_postivecharger.postivecharger.alphaticr,40
226,CTDD_hydrophobicity_ARGP820101.1.residue50,41
204,CTDC_secondarystruct.G2,41
2449,CKSAAP_CG.gap1,43
1103,DDE_VS,44
294,CTDD_hydrophobicity_ENGD860101.3.residue0,44
3889,Z5__28,46
3371,CKSAAP_LL.gap3,47
167,CKSAAGP_uncharger.postivecharger.gap5,48
289,CTDD_hydrophobicity_ENGD860101.2.residue0,49
152,CKSAAGP_aromatic.postivecharger.gap5,50
1047,DDE_RY,51
772,DDE_CF,52
3890,Z5__29,53
3905,Z5__44,54
3674,QSO3_SC_D,55
3174,CKSAAP_YH.gap2,56
991,DDE_PE,57
3736,ABHPRK__12,58
3895,Z5__34,59
19,AAC_V,60
3719,Calculate_charge,61
3904,Z5__43,62
95,CKSAAGP_alphaticr.alphaticr.gap3,63
2922,CKSAAP_HA.gap2,64
334,CTDD_polarity.2.residue0,65
